bathrooms,bedrooms,floor_location,link,neighborhood,parking_spots,price,stratum,surface,total_levels,yard,backyard,remodeled,terrace,residencial_building,pool,status_en construccion,status_lanzamiento,status_nuevo,status_para entrega,status_sobre planos,status_usado,city_cali,city_jamundi,city_palmira,property_type_apartamento,property_type_casa,property_type_lote o casalote
8.0,6.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-oriente-la-floresta-vp1052645-DoraPatriciaMorales,la floresta,0.0,290000000.0,3.0,118.0,2.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
4.0,4.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-bosques-del-limonar-ag1209162,bosques del limonar,0.0,470000000.0,4.0,420.0,3.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2.0,5.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-santa-isabel-vp1057295-DoraPatriciaMorales,santa isabel,0.0,320000000.0,4.0,160.0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-4072753.aspx,valle del lili,1.0,228000000.0,4.0,80.0,0.0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/san-gabriel/cali/proyecto-nuevo-det-1359592.aspx,valle del lili,0.0,206183000.0,5.0,70.23,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/aguacatal-det-4192759.aspx,aguacatal,0.0,129000000.0,3.0,55.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/caldasrefugio-det-4115025.aspx,caldasrefugio,1.0,119000000.0,3.0,57.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
2.0,2.0,0.0,https://www.fincaraiz.com.co/apartamento-en-venta/cali/caney-det-4192714.aspx,el caney,1.0,150000000.0,4.0,65.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-apartamento-cali-caney-3-habitaciones-2-banos-1-garajes/9947-10402385,valle del lili,1.0,295000000.0,5.0,86.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2.0,5.0,1.0,http://www.metrocuadrado.com/inmueble/venta-casa-cali-olimpico-5-habitaciones-2-banos/9947-1040965,el troncal,0.0,165000000.0,3.0,78.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2.0,3.0,1.0,http://www.metrocuadrado.com/inmueble/venta-apartamento-cali-parcelacion-piedra-grande-3-habitaciones-2-banos-1-garajes/835-11276,bochalema,1.0,230000000.0,5.0,86.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
4.0,3.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-sur-santa-isabel-vp934959-mdminmobiliaria,santa isabel,0.0,550000000.0,5.0,282.0,2.0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
4.0,5.0,0.0,https://fincaraiz.elpais.com.co/aviso/casas-venta-cali-norte-la-flora-vp1203779-DoraPatriciaMorales,la flora,0.0,410000000.0,5.0,259.0,1.0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/acuarela-ii-ciudad-pacifica,sin barrio,0.0,98500000.0,3.0,44.83,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/portal-de-la-bocha,sin barrio,0.0,116950000.0,0.0,51.65,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/gratta-ciudad-pacifica,sin barrio,0.0,116950000.0,3.0,53.07,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/pradera-bosque-del-valle,sin barrio,0.0,119000000.0,4.0,53.03,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,3.0,0.0,https://www.vivendo.co/proyectos/cali/dalia-hacienda-kachipay,sin barrio,0.0,125604000.0,4.0,47.73,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
